,video_id,channelTitle,title,description,tags,publishedAt,viewCount,likeCount,favouriteCount,commentCount,duration,definition,caption,publishDayName,durationSecs
0,Mwul17m-tCY,amvhell,AMV Hell 8 Teaser Trailer,Rules and submission info has been posted at https://www.amvhell.com,,2023-04-21 01:02:22+00:00,9427.0,1212.0,,435.0,PT1M12S,hd,false,Friday,72.0
1,cCI1owQ7CXI,amvhell,AMV Hell 1,The original AMV Hell,['amv hell'],2019-09-30 00:44:43+00:00,76440.0,2004.0,,381.0,PT5M18S,sd,false,Monday,318.0
2,vhreJ5xV_Z4,amvhell,AMV Minis Challenge - Final Destination,The true final episode of AMV Minis Challenge. Which of the prior winners is the true ultimate champion? Cast your vote by Feb 6 by heading over to http://www.amvhell.com/showthread.php?29066,"['amv hell', 'AMV Minis', 'Challenge', 'anime', 'amv', 'anime music video']",2015-01-24 18:26:20+00:00,49490.0,687.0,,184.0,PT14M22S,hd,false,Saturday,862.0
3,1_NwJtbJ8Rc,amvhell,AMV Minis Challenge 32 - Comedy,The final episode of AMV Minis Challenge. You can vote for the best video by January 23 over at http://www.amvhell.com/showthread.php?29061,"['AMV Minis', 'amv', 'amv hell', 'Comedy', 'Anime']",2015-01-10 17:11:22+00:00,60406.0,574.0,,159.0,PT9M14S,hd,false,Saturday,554.0
4,fZDdsnzmRPs,amvhell,AMV Minis Challenge 31 - 2014,"This challenge was simply to use sources that were released in the year 2014. You can vote for the video you like best before Jan 9, over at http://www.amvhell.com/showthread.php?29027","['AMV Minis', 'amv', 'amv hell', 'anime music video', 'anime', '2014']",2014-12-27 17:58:44+00:00,32448.0,343.0,,127.0,PT4M56S,hd,false,Saturday,296.0
5,1xa2q9NBtvw,amvhell,AMV Minis Challenge 30 - Intro Parody,This episode of AMV Minis features clips based on Intros! Check it out! And then vote for your favorite clip over at http://www.amvhell.com/showthread.php?29014 by December 26!,"['amv hell', 'amv minis', 'amv', 'anime music video', 'anime', 'opening', 'intro']",2014-12-13 16:38:34+00:00,36270.0,503.0,,159.0,PT7M39S,hd,false,Saturday,459.0
6,6FfqZvJ2iK8,amvhell,AMV Minis Challenge 29 - AMV,This challenge was simply to make an AMV-style clip. You can vote for the winning entry by December 12 over at http://www.amvhell.com/showthread.php?28987,"['Anime Music Video', 'AMV Minis', 'amv hell', 'amv']",2014-11-29 16:34:55+00:00,45908.0,557.0,,218.0,PT7M45S,hd,false,Saturday,465.0
7,a9GtNvO22pU,amvhell,AMV Minis Challenge 28 - Remake,This episode contains remakes of videos that appeared in previous editions of AMV Hell or AMV Minis. You can vote for the best entry by November 28th right here: http://www.amvhell.com/showthread.php?28963,"['amv minis', 'amv hell', 'amv', 'anime music video']",2014-11-15 16:15:17+00:00,34178.0,378.0,,148.0,PT4M12S,hd,false,Saturday,252.0
8,Fd6OFJ8k_8o,amvhell,AMV Minis Challenge 27 - WTF,"To vote for the winning video by Nov 14, or to find credits and other info, please visit http://www.amvhell.com/showthread.php?28945","['amv minis', 'amv hell', 'amv', 'anime music video', 'anime']",2014-11-02 01:36:02+00:00,40144.0,476.0,,121.0,PT7M18S,hd,false,Sunday,438.0
9,JUgh05RPfwU,amvhell,AMV Minis Challenge 26 - Gaming,All of the entries in this Challenge are related to video games in some way or another. Head over to http://www.amvhell.com/showthread.php?28922 by October 31 to vote for the winner!,"['amv hell', 'amv minis', 'Challenge', 'anime', 'amv', 'Anime Music Video']",2014-10-18 19:09:30+00:00,38328.0,342.0,,161.0,PT10M41S,hd,false,Saturday,641.0
10,Mff0aUIwYEU,amvhell,AMV Hell 7,"10 years in, we're still at it. This is the 7th and possibly best entry yet into the infamous AMV Hell series!

See the credits list or download a high quality version at: http://www.amvhell.com/index.php?pageid=amvhell7

Come join the fun at http://www.amvhell.com","['Anime Music Video', 'amv', 'amv hell']",2014-10-04 23:00:02+00:00,769296.0,6742.0,,1209.0,PT1H27M27S,hd,false,Saturday,5247.0
11,Vp6LKfN9Zdw,amvhell,AMV Minis Challenge 25 - Time Warp,"To vote for the winner before October 17 or to view the credits, please visit: http://www.amvhell.com/showthread.php?28872","['AMV Minis', 'amv', 'anime music video', 'anime', 'amv hell']",2014-10-03 23:31:17+00:00,27025.0,220.0,,114.0,PT3M49S,hd,false,Friday,229.0
12,iaqpsQrzahc,amvhell,AMV Minis Challenge 24 - Art,"For this challenge, the competitors were supposed to make art. To cast your vote for the best one by September 19th, head on over to http://www.amvhell.com/showthread.php?28821","['AMV Minis', 'amv hell', 'amv', 'anime music video', 'Anime']",2014-09-06 14:58:55+00:00,25322.0,231.0,,166.0,PT6M31S,hd,false,Saturday,391.0
13,xxKWOmonHNI,amvhell,AMV Minis Challenge 23 - Drop It,The clips in this challenge are supposed to feature an epic drop. You can vote for the winner and see the credits list at http://www.amvhell.com/showthread.php?28797,"['AMV Minis', 'amv', 'amv hell', 'anime', 'anime music video']",2014-08-09 14:45:58+00:00,57602.0,568.0,,237.0,PT11M50S,hd,false,Saturday,710.0
14,6sAOqCP0Wts,amvhell,AMV Minis Challenge 22 - Country Music,This episode of AMV Minis Challenge brings together anime with everyone's favorite genre of music. Vote for the best video at http://www.amvhell.com/showthread.php?28744  by July 22!,"['amv hell', 'amv minis', 'amv', 'anime music video', 'anime']",2014-07-10 01:24:17+00:00,26878.0,291.0,,181.0,PT8M5S,hd,false,Thursday,485.0
15,YI5hrsIrDC8,amvhell,AMV Minis Challenge 21 - This is what I have to deal with,"This challenge consists of videos that were rejected from AMV Hell 7. Competitors were advised to submit their ""worst"" video that I rejected, but the discretion was up to them. Please head over to http://www.amvhell.com by June 24th to vote for the worst video out of the bunch, so we can crown the king of crap!","['amv hell', 'amv minis', 'amv', 'anime', 'anime music video']",2014-06-12 14:57:07+00:00,41439.0,408.0,,242.0,PT13M41S,hd,false,Thursday,821.0
16,zTb9-fSb-vE,amvhell,AMV Minis Challenge 20 - Fandom,"Challenge #20 was about fandom. Competitors were instructed to make videos about fandom, or try to show something that they themselves are passionate fans of.
Vote for the winner at http://www.amvhell.com","['amv hell', 'amv minis', 'amv', 'anime music video']",2014-05-29 00:18:43+00:00,29564.0,252.0,,137.0,PT4M6S,hd,false,Thursday,246.0
17,gwSt1An-2ks,amvhell,AMV Minis Challenge 19 - The 80s,Take a trip back to the 80s! Which video captured the spirit of a generation the best? Cast your vote at http://www.amvhell.com,"['amv hell', 'amv minis', 'amv']",2014-04-30 23:57:43+00:00,38641.0,432.0,,173.0,PT7M22S,hd,false,Wednesday,442.0
18,RHyVKLohcEE,amvhell,AMV Minis Challenge 18 - Unnecessary Censorship,Vote for the best or funniest clip by going to http://www.amvhell.com,"['amv hell', 'amv minis', 'amv', 'anime music video']",2014-04-03 00:23:20+00:00,36933.0,379.0,,115.0,PT4M48S,hd,false,Thursday,288.0
19,p8sYITgtlF4,amvhell,AMV Minis Challenge 17 - The Concept of Love,Vote for the best video over at http://www.amvhell.com by March 18!,"['amv hell', 'amv minis', 'amv', 'anime music video', 'anime']",2014-03-05 18:24:08+00:00,44698.0,502.0,,195.0,PT11M45S,hd,false,Wednesday,705.0
20,Ez5PyM6cSyU,amvhell,AMV Minis Challenge 16 - AMVines,"This was a challenge that involved using audio from a Vine.
Enjoy these bite-sized clips and vote for the best one at http://www.amvhell.com","['amv hell', 'amv minis', 'anime music video']",2014-02-19 18:31:58+00:00,39767.0,530.0,,77.0,PT2M26S,hd,false,Wednesday,146.0
21,-il4y11qY7I,amvhell,AMV Minis Challenge 15 - That's Not Funny!,"To vote for the winner or check out other challenges, go to http://www.amvhell.com","['amv minis', 'amv hell', 'anime music video', 'amv']",2014-01-29 16:17:02+00:00,42252.0,437.0,,132.0,PT5M20S,hd,false,Wednesday,320.0
22,kXsFw6INSts,amvhell,AMV Minis Challenge 14 - Beatbox,"The theme of this challenge was to create clips that use human beatbox audio, or other types of mouth-made music.","['amv hell', 'amv', 'amv minis', 'anime music video']",2014-01-15 20:44:43+00:00,30475.0,366.0,,125.0,PT4M48S,hd,false,Wednesday,288.0
