,video_id,comments
0,Mwul17m-tCY,"[""I didn't realize this continued after AMV hell 3... I have some cat5ching up to do XD"", ""YES!!!!! Never thought I would see another new one of these again! I found so many amazing new anime titles to watch from these, I still show these to friends who haven't heard of them, can not wait for the completion of this one"", ""You're as beautiful as the day I lost you"", ""Been awhile for me too let's see what cringe awaits us"", ""After so long... After so many years. You've come back to us."", ""I was just thinking about AMV Hell yesterday when I a bunch of vines showed up in a search, and now this showed up in another random search. Makes me remember all the great old AMVs from that time, when the effort to get anything uploaded, especially before YouTube, kept a lot of the low-effort trash away.\n\nI think AMV Hell was better at first when they didn't seem to have length restrictions on the clips. After a few iterations it seemed like everyone just aimed for the maximum length regardless of what suited the clip. That lost a lot of the quick and funny jokes and many dragged on for too long."", 'HOLY FUCK ITS ALIVE!', 'New AMV movie. My body is ready.', ""I remember thinking AWA had lost some favor for not carrying AMV Hell after 7... then saddened to learn there wasn't another one. Now, I find a new hope for something strange and mystical."", 'Not the hero deserve but the one we need.']"
1,cCI1owQ7CXI,"['Ah yes this truly takes me back to the good old days of watching anime in 3-5 parts at the lowest of qualities. I put it on 144p to immerse myself.', 'AMV Hell 8 is happening? What the fuck?! Where have I been and yes please yes!!!', ""Man, I remember watching this back in high school and now I'm married and have a kid. Where does the time go?"", 'Good times. Fcukd up I can say that smdh.', 'Do you think AMV hell will ever come back ?', 'Yay, Weird Al.', '2004 year, I found out what anime is', 'I think I have this on a CD somewhere.', 'I need a shirt with AMV HELL on it. My childhood <3', ""This sounds so much better than I remember. I definitely didn't hear the coughing at 3:24 when I first saw this 15 years ago.""]"
2,vhreJ5xV_Z4,"['AMV hell is the last thing what keeps my sanity. Hello from freaking Russia.', 'Oh that Ebola song, how awkward it is now.', 'Its mama can you hear me', 'Thats not do you wanna build a snowman its mama can you hear me.', 'Yeah who green lited kill la kill should be \nSend to hell with hellraizer', 'the ultimate winners should be between 10. 11. and 31', 'Ugh #8 was just bad taste. Keep hentai out of this.', '17 dam you cee lo green', '12 is still my nightmare', 'Are they ever gonna make another AMV hell? Its been 4 yrs since like the last one']"
3,1_NwJtbJ8Rc,"['What is this Animaniacs? It’s too meta. I love it!', 'number 5\n\nthe rest were boring', '8:45 OH GOD, NOT BRAZIL', ""You know, sometimes I leave in the middle of something, only to come back to it years later wondering what I missed, and wouldn't you know?\nThere's nothing there.\nI've basically confirmed that anything I was doing before that I'm not doing now doesn't exist. I sit and wonder what I did with my time, and the answer is: I found something else to do.\nWell, see ya'll around. I'll be back when/if you return."", '1:25 League of legends in a nutshell.', 'shit', 'what anime is number 20', 'whats the song on #1 where they r destroying that ladys tracks', 'what are animes 14 and 20?', '5 or 22 is the best!']"
4,fZDdsnzmRPs,"['11 is both more funny, and less funny this year.', '#6 did my speakers break o.o', ""what's number 9?"", ""Video 01\nitschickenscratch\nJoJo's Bizarre Adventure: Stardust Crusaders\nIggy Azalea - Fancy\xa0\n\nVideo 02\nZetsubou-Chan\nGrisaia no Kaijitsu\nWeird Al Yankovic - Handy\xa0\n\nVideo 03\nMarkSoupial\nOnee-chan ga Kita!\nGuardians of the Galaxy Sound Clip\xa0\n\nVideo 04\nredgriffin22\nSpace Dandy\nMaroon 5 - Animals\xa0\n\nVideo 05\nHosokawa37\nKill La Kill\nNickelback - Million Miles An Hour\xa0\n\nVideo 06\nquentlap\nshigatsu wa kimi no uso\nAC/DC - Rock or Bust\xa0\n\nVideo 07\npzykosiz\nPersona 4 - The Golden Animation\nThe Hunger Games - Mockingjay Trailer\n\nVideo 08\nN.P.C.C.\nKill la Kill\nCFO$ - Fabulous\xa0\n\nVideo 09\nRobert Frazer\nPsycho-Pass 2\nApple (from Robert Preston) - Chicken Fat 2014\xa0\n\nVideo 10\nZombieMesh\nAldnoah.Zero\nBro Team Pill - Velvet Assassin\xa0\n\nVideo 11\nCitizenRoman\nNoragami; Barakamon; Ookami Shoujo to Kuro Ouji; Nisekoi OVA\nRucka Rucka Ali - Ebola (La La)"", '#6 was quite good, IMO.', ""i don't see why you're all bashing this video ._. it's pretty good if you're going to get on youtube and bash on videos that you yourself probably can't make any better then you might as well shut the fuck up get a life and stop spending your time going video to video hating whatever you don't like because honestly i'm sure the poster of the video didn't want you to tell them they did bad so why don't you all just shut the fuck up and enjoy the video no one gives a fuck about how bad it was ._. because it wasn't bad at all it was an amazing video i say so because i don't know many of these anime's or songs so this stuff seems new to me ._. but that's besides the point"", 'Ugh. A Million Miles an Hour to kill la kill. great song, overrated anime', 'The song for 08 sucks, but it does fit with the character.', 'Very surprised at how little Space Dandy was in this one, baby.', '1:35 song plx?']"
5,1xa2q9NBtvw,"['If only they uses the other power rangers series', 'Too Many Cooks was robbed.', 'Still better then Netflix  she ra', ""number 8 just wanted to do too much, I think.\nI don't know which one ended up winning, but my vote's for 1."", 'I have no idea what #6 is referencing.', 'number 10 was my favorite 4:42', 'what is that song at number 2?? please I got to know??', 'Yeee Animaniacs!', 'Number 12 is really, really reaching.', 'What was the song for number 10?']"
6,6FfqZvJ2iK8,"['8 is my favorite', 'omg, Clip #3, what song is that?!', '0:53 the winner mini amv challenge', 'sube el video de ShuiiaWataMoteDie AntwoordI Fink U Freeky', ""what's the song at 07:08?"", 'which anime is number 11?', 'what ani,e is #9?', 'whats the show for 11 again...?', ""Video 01\nBeiki\nOne Piece\nSoft Cell - Tainted Love\xa0\n\nVideo 02\nCangelosi\nRuins Explorer\nLemon Demon - Kitten Is Angry\xa0\n\nVideo 03\nSir Loin of Beef\nGolden Boy\nStarbomb - It's Dangerous to Go Alone\xa0\n\nVideo 04\nMarkSoupial\nGolden Time\nVoltaire - Future Ex Girlfriend\xa0\n\nVideo 05\nitschickenscratch\nJoJo's Bizarre Adventure\nReel Big Fish - She's Not The End Of The World\xa0\n\nVideo 06\nGamewizard\nAttack onTtitan\nWilliam Hung - She Bangs\xa0\n\nVideo 07\nShibbidah\nTrinity Seven\nSoundgarden - Black Hole Sun\xa0\n\nVideo 08\nJinzo64\nDragonball Z Bojack unbound\nRick Derringer - Real American\xa0\n\nVideo 09\nredgriffin22\nYou Are Umasou\nDarren Criss - Fighter\xa0\n\nVideo 10\nN.P.C.C.\nPanty And Stocking With Garterbelt\nJem and The Holograms - Hollywood Jem\xa0\n\nVideo 11\nKy\nKamper\nNightmare Before Christmas - Whats This (Female Cover)\xa0\n\nVideo 12\nSilentChaz\nPlastic Nee-san\nEminem - Just Lose It\xa0\n\nVideo 13\nHosokawa37\nMidori Days, School Rumble\nJoan Jett - Bad Reputation\xa0\n\nVideo 14\nurahara1001\nDragon Ball Z\nLimp Bizkit - Behind Blue Eyes\xa0\n\nVideo 15\nmilleniummaster18\nKill la Kill\nPetey Pablo - Raise Up\xa0\n\nVideo 16\npzykosiz\nRWBY\nMindless Self Indulgence - Shut Me Up\xa0\n\nVideo 17\nRyden50\nDaily life of a Highschool Boy\nflight of the conchords - I Got Hurt Feelings\xa0\n\nVideo 18\nHumnut & His Mexican Compadre\nK-On!\nKatty Perry - This is How We Do"", ""Can you tell me the Anime's, songs, and artists used?""]"
7,a9GtNvO22pU,"[""Video 01\nN.P.C.C.\nK-ON!\nJem and The Holograms - Rock and Roll Is Forever\xa0\n\nVideo 02\nHosokawa37\nArmored Trooper Votoms\nBloodhound Gang - The Bad Touch\xa0\n\nVideo 03\nTnAdct1\nEvangelion: 2.22 You Can (Not) Advance\nBlink 182 - All the Small Things\xa0\n\nVideo 04\nSilentChaz\nSoul Eater; Space Jam\nSeamus Kennedy - I Know a Song (That Gets on Everybody's Nerves); Ylvis - The Fox\xa0\n\nVideo 05\nShadowolf\nAngel Beats\nStar Wars Episode I - Duel Of The Fates\xa0\n\nVideo 06\nhumnut\nSakura Trick\nAsdf Movie 3 - Sound Clip\xa0\n\nVideo 07\nFORDboy357\nAnother\nDarude - Sandstorm\xa0\n\nVideo 08\npzykosiz\nGirls Und Panzer\nWayne's World (Queen) - Bohemian Rhapsody\xa0\n\nVideo 09\nSir Loin of Beef\nAzumanga Daioh\nOriginal Audio; Dark Souls 2 - Longing"", 'does anyone know what episode of K-on that clip is from?', 'Okay; in all actuality, #9 has brought me back.', 'the ending has my vote', 'four wins\nhands down', ""I'm torn between 2 and 4."", 'Number 4 all the way! Had me clapping after the gunshot lol.', 'does anyone know where i can find just the 8th clip?', 'No Jem?', '#4 All The Way...']"
8,Fd6OFJ8k_8o,"[""So only now after years did I realize that #2's music was the end music of Robot Chicken."", ""#04 what's the baseball anime?"", '6.... confused me....', '1:39 what version of sandstorm is that!?!? I must know!', '13 is Fallout games right?', '#2 is my favorite.', 'massive mind explosion', 'I also like 10. it fit perfectly', 'holy shit thats Dracula eating a cheeseburger', 'what anime is number 9?']"
9,JUgh05RPfwU,"['at number 18 I was thinking ""oh shit, is that a pro Genji?!""', 'wow this is one of the best ones', ""Video 01\nMarkSoupial\nThe World God Only Knows\nAerosmith - Dude Looks Like A Lady\xa0\n\nVideo 02\nSilentChaz\nJoJo's Bizarre Adventure\nHomemade Waffles, Phil and Mango - Wombo Combo\xa0\n\nVideo 03\nCangelosi\nSengoku Basara HEROES\nForeigner - Cold As Ice\xa0\n\nVideo 04\nSir Loin of Beef\nBerserk\nPlague of Gripes - Dark Souls: In Summary\xa0\n\nVideo 05\nMoon Spirit\nMetal Gear Rising: Revengeance\nVanilla Ice - Ninja Rap\xa0\n\nVideo 06\nKingofkilps\nCode Geass\nCommand and Conquer Generals USA trailer\n\nVideo 07\nSir Fluffykins\nNeon Genesis Evangelion, End of Evangelion, Evangelion 3.0 You Can (Not) Redo\nPropellerheads (ft Miss Shirley Bassey) - History Repeating\xa0\n\nVideo 08\nFORDboy357\nInvisible Stud\nGoldeneye 007 (for N64) - audio clip\xa0\n\nVideo 09\nApocrypha\nCarnival Phantasm\nDead or Alive Xtreme 2 Opening - How Crazy Are You?\xa0\n\nVideo 10\nMalcolm Wilson\nCowboy Bebop\nEnemy Territory: Quake Wars - sound clips\n\nVideo 11\nKitsuneSnowLP\nMetroid Prime 2\nFalco - Out Of the Dark\xa0\n\nVideo 12\nCitizenRoman\nSquid Girl\nThe Dark Knight Rises - Sound Clip\xa0\n\nVideo 13\nDXM\nGundam: 08th Team\nBattlefeid: Bad Company - Sound clip\xa0\n\nVideo 14\nThatsNotMyName_studio\nElfen Lied\nMellissa Manchester - Midnight Blue\xa0\n\nVideo 15\nStevie\nDiablo III\nKiss - Heaven's on Fire\xa0\n\nVideo 16\nJinzo64\nAzumnaga Daioh and legend of zelda ocarina of time advert\nLegend of zelda ocarina of time advert\xa0\n\nVideo 17\nPhoenix_of_wind\nMirai Nikki\nSam Smith - I'm not the only one\xa0\n\nVideo 18\nCountessZenikou\nKaras\nNODJ - How We Live\xa0\n\nVideo 19\nhumnut\n+tic Nee-san\nBulletstorm - Sound Clip\xa0\n\nVideo 20\nTeraforce88\nLast Alert (Turbografx-CD)\nRambo: First Blood Trailer; Last Alert (Turbografx-CD) Sound clips\n\nVideo 21\nLaserSexPanther\nSword Art Online\nGame Grumps - Wind Waker sound clip\xa0\n\nVideo 22\nHydra420\nSword Art Online\nSugar Smacks Commercial\n\nVideo 23\nSOS13\nDevil may Cry\nGame Grumps - Pokemon Fire Red Part 11\xa0\n\nVideo 24\nPrinceBrightstar\nPhantasy Star Online 2\nHideaki Kobayashi & Freakazoid - Naverius Forest Theme & Toyetic sound clip from Freakazoid\xa0\n\nVideo 25\nShuiia\nWatamote\nBlackout Band - Video Games\xa0\n\nVideo 26\nHosokawa37\nWarioWare Smooth Moves\nStephen Lynch\nBaby\xa0\n\nVideo 27\npzykosiz\nHigh School of the Dead\nPlants vs Zombies (Laura Shigihara) - There's A Zombie on Your Lawn\xa0\n\nVideo 28\nN.P.C.C.\nAVGN and Cosmicolor\nAVGN and Jem - Audio Clip and 8 Bit Theme"", ""I'm disappointed by the extreme lack of Senator Armstrong in these submissions"", 'Of course Plague', '12 oh god xD I love that one the best', '01 for the good ol blowing the carts', '4 - PLAGUE OF GRIPES!!!\n10 - Was that audio from Quake Wars? I loved that game! I wish it would get a PC re-release.', 'I was unfortunate enough to be eating grilled cheese and tomato soup while #8 was playing.', 'fuck yea generals usa zong with code gease']"
