,videoId,uploader,uploader_id,uploader_url,channel_id,channel_url,upload_date,license,creator,title,description,categories,tags,duration,age_limit,annotations,chapters,videoLink,view_count,like_count,dislike_count,average_rating,is_live,start_time,end_time,series,playlist,playlist_index
0,OOMcKd4qfCo,amv news chronicles,,http://www.youtube.com/@AMVNewsChronicles,UCcsGSCt3H94_89mT1HDyv0g,http://www.youtube.com/channel/UCcsGSCt3H94_89mT1HDyv0g,2022-03-19,,,amv - ♪ contemporary dog ♪ - by hikikomori,"info & dll: https://amvnews.ru/index.php?go=files&in=view&id=11931

author(s): hikikomori
https://www.youtube.com/channel/ucocjx-v-puchc1jtpuy5tla
 
anime: cowboy bebop, cowboy bebop: tengoku no tobira, tonari no totoro, rick and morty, ballroom e youkoso, neko no ongaeshi, kanojo to kanojo no neko: everything flows, hyouka, sword art online, shingeki no kyojin, toki wo kakeru shoujo, mona lisa, van gogh's portrait, the scream, suzumiya haruhi no yuuutsu, neon genesis evangelion: the end of evangelion, golden time, cowboy bebop ein no natsuyasumi, league of legends, fullmetal alchemist, kokoro connect, invincible, seitokai yakuindomo, toy story's buzz lightyear poster, kimi no na wa., original art/animation

music: eurythmics - sweet dreams (are made of this)",['Entertainment'],['AMV'],227,0,,,https://www.youtube.com/watch?v=OOMcKd4qfCo,1597,72.0,,,,,,,,
1,O421QP_UkAc,amv news chronicles,,http://www.youtube.com/@AMVNewsChronicles,UCcsGSCt3H94_89mT1HDyv0g,http://www.youtube.com/channel/UCcsGSCt3H94_89mT1HDyv0g,2022-03-11,,,mix amv - ♪ clear sound ♪ - by espada98,"info & dll: https://amvnews.ru/index.php?go=files&in=view&id=11879

author(s): espada98 
 
anime: ballroom e youkoso, fate/apocrypha, kono oto tomare!, jujutsu kaisen, shigatsu wa, kara no kyoukai, nodame cantabile, hibike! euphonium, kimi no uso, ushoku tensei - isekai ittara honki dasu

music: eternal eclipse - shape of lies",['Entertainment'],['AMV'],172,0,,,https://www.youtube.com/watch?v=O421QP_UkAc,952,36.0,,,,,,,,
2,Y7-t7QTgQws,amv news chronicles,,http://www.youtube.com/@AMVNewsChronicles,UCcsGSCt3H94_89mT1HDyv0g,http://www.youtube.com/channel/UCcsGSCt3H94_89mT1HDyv0g,2021-11-17,,,genshin impact gmv - ♪ impact ♪ - by chiikaboom,"info & dll: https://amvnews.ru/index.php?go=files&in=view&id=11759

author(s): chiikaboom
https://www.youtube.com/channel/ucr_t6kemfqimwtvb8_uvmbq
 
anime: genshin impact

music: taalbi brothers - uccen (remix)",['Entertainment'],['AMV'],120,0,,,https://www.youtube.com/watch?v=Y7-t7QTgQws,1032,41.0,,,,,,,,
3,xoiYRIs3Ayw,amv news chronicles,,http://www.youtube.com/@AMVNewsChronicles,UCcsGSCt3H94_89mT1HDyv0g,http://www.youtube.com/channel/UCcsGSCt3H94_89mT1HDyv0g,2021-11-14,,,kizumonogatari amv - ♪ stelae ♪ - by fnalex,"info & dll: https://amvnews.ru/index.php?go=files&in=view&id=11656

author(s): fnalex
https://www.youtube.com/channel/uceh49d3y9bncjxkm8nzagja
 
anime: kizumonogatari

music: omri - redo undo",['Entertainment'],['AMV'],216,0,,,https://www.youtube.com/watch?v=xoiYRIs3Ayw,1494,33.0,,,,,,,,
4,DpdVWpFav0Q,amv news chronicles,,http://www.youtube.com/@AMVNewsChronicles,UCcsGSCt3H94_89mT1HDyv0g,http://www.youtube.com/channel/UCcsGSCt3H94_89mT1HDyv0g,2021-07-02,,,amv mix - ♪ can't hold us ♪ - by damnkazu,"info & dll: https://amvnews.ru/index.php?go=files&in=view&id=10018

author(s): damnkazu
https://www.youtube.com/channel/ucua7w2jmuv54tu5giisvc-w
 
anime: mix

music: walk the moon - shut up and dance",['Entertainment'],['AMV'],135,0,,,https://www.youtube.com/watch?v=DpdVWpFav0Q,737,33.0,,,,,,,,
5,SpSyOT9EiXQ,amv news chronicles,,http://www.youtube.com/@AMVNewsChronicles,UCcsGSCt3H94_89mT1HDyv0g,http://www.youtube.com/channel/UCcsGSCt3H94_89mT1HDyv0g,2021-06-18,,,amv - ♪ the midnight hour ♪ - by bbsnypur,"info & dll: https://amvnews.ru/index.php?go=files&in=view&id=11306

author(s): bbsnypur
https://www.youtube.com/channel/ucyg1frg6ia-3so6iqlx040a
 
anime: wicked city

music: wolfclup - summer lights",['Entertainment'],['AMV'],210,0,,,https://www.youtube.com/watch?v=SpSyOT9EiXQ,824,34.0,,,,,,,,
6,S3mNbNXuoZU,amv news chronicles,,http://www.youtube.com/@AMVNewsChronicles,UCcsGSCt3H94_89mT1HDyv0g,http://www.youtube.com/channel/UCcsGSCt3H94_89mT1HDyv0g,2021-06-12,,,amv - ♪ the skeld ♪ - by tricky,"info & dll: https://amvnews.ru/index.php?go=files&in=view&id=11498

author(s): tricky
https://www.youtube.com/channel/uc0-kypfvyvnhwprqigdadzw
 
anime: space dandy, arakawa under the bridge

music: example - whisky story",['Entertainment'],['AMV'],157,0,,,https://www.youtube.com/watch?v=S3mNbNXuoZU,541,17.0,,,,,,,,
7,fZX77WmzuJE,amv news chronicles,,http://www.youtube.com/@AMVNewsChronicles,UCcsGSCt3H94_89mT1HDyv0g,http://www.youtube.com/channel/UCcsGSCt3H94_89mT1HDyv0g,2021-06-09,,,evangelion amv - ♪ anima ♪ - by radicaldreamer,"info & dll: https://amvnews.ru/index.php?go=files&in=view&id=11506

author(s): radicaldreamer
https://www.youtube.com/channel/ucfig2mfq4cazn4hzaseew4a
 
anime: evangelion 1.1, 2.2, 3.3, 4.4 (pv's)

music: midnight consporacy, cenob1te - sentinel",['Entertainment'],['AMV'],135,0,,,https://www.youtube.com/watch?v=fZX77WmzuJE,1367,57.0,,,,,,,,
8,Vb3lg8F2Kw0,amv news chronicles,,http://www.youtube.com/@AMVNewsChronicles,UCcsGSCt3H94_89mT1HDyv0g,http://www.youtube.com/channel/UCcsGSCt3H94_89mT1HDyv0g,2021-06-04,,,amv/mix - ♪ drum go dum ♪ - by zelda,"info & dll: https://amvnews.ru/index.php?go=files&in=view&id=11519

author(s): zelda
https://www.youtube.com/channel/uc3e1sdglvhdaeq5v0d0_icq
 
anime: mix

music: k/da - drum go dum",['Entertainment'],['AMV'],128,0,,,https://www.youtube.com/watch?v=Vb3lg8F2Kw0,1276,45.0,,,,,,,,
9,verSBcvATY8,amv news chronicles,,http://www.youtube.com/@AMVNewsChronicles,UCcsGSCt3H94_89mT1HDyv0g,http://www.youtube.com/channel/UCcsGSCt3H94_89mT1HDyv0g,2021-05-21,,,overlord amv - ♪ another world heroes ♪ - by 9137lmx,"info & dll: https://amvnews.ru/index.php?go=files&in=view&id=10737

author(s): 9137lmx
 
anime: mix

music: curio ft. lucy - ten feet (daxten remix)",['Entertainment'],['AMV'],267,0,,,https://www.youtube.com/watch?v=verSBcvATY8,1684,87.0,,,,,,,,
