,id,start,end,text
0,/Volumes/Elements/Dev/TCC/data/links/Mwul17m-tCY.en.vtt,00:00:00.179,00:00:04.190," 
what is that I got bored one day  and I put everything on a bagel  everything  all my hopes and dreams my old report  cards  every breed of dog every last personal  ad on Craigslist  [Music]  sesame  salt  and it collapsed in on itself  because you see when you really put  everything on a bagel  Starbucks  across from the Starbucks tucked  a bagel  [Music]  okay like the scariest thing in the  world would be scream  [Music]"
1,/Volumes/Elements/Dev/TCC/data/links/Mwul17m-tCY.en.vtt,00:00:04.190,00:00:09.589,"what is that I got bored one day  and I put everything on a bagel  everything  all my hopes and dreams my old report  cards  every breed of dog every last personal  ad on Craigslist  [Music]  sesame  salt  and it collapsed in on itself  because you see when you really put  everything on a bagel  Starbucks  across from the Starbucks tucked  a bagel  [Music]  okay like the scariest thing in the  world would be scream  [Music]
 "
2,/Volumes/Elements/Dev/TCC/data/links/Mwul17m-tCY.en.vtt,00:00:09.589,00:00:09.599," 
 "
3,/Volumes/Elements/Dev/TCC/data/links/Mwul17m-tCY.en.vtt,00:00:09.599,00:00:11.209, 
4,/Volumes/Elements/Dev/TCC/data/links/Mwul17m-tCY.en.vtt,00:00:11.209,00:00:14.330," 
 "
5,/Volumes/Elements/Dev/TCC/data/links/Mwul17m-tCY.en.vtt,00:00:14.330,00:00:14.340," 
 "
6,/Volumes/Elements/Dev/TCC/data/links/Mwul17m-tCY.en.vtt,00:00:14.340,00:00:15.650, 
7,/Volumes/Elements/Dev/TCC/data/links/Mwul17m-tCY.en.vtt,00:00:15.650,00:00:17.750," 
 "
8,/Volumes/Elements/Dev/TCC/data/links/Mwul17m-tCY.en.vtt,00:00:17.750,00:00:19.130," 
 "
9,/Volumes/Elements/Dev/TCC/data/links/Mwul17m-tCY.en.vtt,00:00:19.130,00:00:19.140," 
 "
10,/Volumes/Elements/Dev/TCC/data/links/Mwul17m-tCY.en.vtt,00:00:19.140,00:00:21.170, 
