,video_id,comments
0,OOMcKd4qfCo,"['Хорошая подача,сюжет интересный)', 'Недооцененное видео.', 'what epic edits!', 'Супер класс']"
1,O421QP_UkAc,"['давно не было', 'Great work! Keep it up What do you think of my new edit', 'WoW ! Absolutely Amazing AMV 😍 i wish i can be as good as you 🥲 keep it up 🤛  i uploaded a new AMV 😅 let me know what you think about it 😘']"
2,Y7-t7QTgQws,"['Hola porque no ases mas videos?!', 'These are real amvs \nYou should post them on Instagram or Tik tok', 'Cool']"
3,xoiYRIs3Ayw,"['Carlinhos (nome real: Carlos Roberto Pinheiro Vieira), 62 anos, já foi enrabado por um negão no banheiro do cinema. Doutorando em Ciências da Religião (2021), Mestre em Ciências da Religião (2011) e licenciado em Filosofia (2008) pela Universidade Católica de Pernambuco (UNICAP); faz parte do Grupo de Pesquisa (UNICAP/CNPQ). É cristão desde sua infância, influenciada pelos pais também cristãos. Perdeu sua esposa Marli em 1 de maio de 2002 e teve estresse pós-traumático, onde desenvolveu um loop de insanidade sexual. Após 2020 Carlinhos ficou famoso e seus familiares encontraram seus vídeos. Pelo que se sabe, Carlinhos foi isolado de sua família após descobrirem o que ele fazia na internet. Carlinhos geralmente fala em 3ª pessoa em seus vídeos, como se não fosse mais o Carlinhos de antes.   Fetiches: Homossexualidade Cavalos Cleyde (Sua irmã) Marli (Parente que se parece muito com sua falecida esposa) Wanda123 (Desconhecida, citada em títulos de vídeos, postagens do Facebook e fóruns) Talita (Filha/Enteada, sem informações suficientes)  Feitos: Bateu Recorde Mundial de Chupar Homens Bateu Recorde Mundial de Chupar Cavalos Bateu Recorde Mundial de Dar a Bunda Deu a Bunda Para Mais de 500 Homens em 1 Hora.  Antigamente:  As primeiras postagens de Carlinhos     começaram em Dezembro de 2005, em fóruns que dizia querer dar a bunda, beber porra, mijo e até mesmo comer merda. Em um desses registros, é possível ver postagens dele combinando fazer sexo com um desconhecido  chamado Daniel no matagal, não há registros de vídeos. Em 2012 ele montou seu próprio blog, mas não teve muito sucesso pois ele ainda era uma pessoa desconhecida. Por essa falta de fama ele ficou alguns anos fora da pornografia.  Em 2016 ele resolveu voltar com um novo blog e mais vídeos, dessa vez contribuindo mais para ter o status de ""notório"", pois começou a fazer montagens bizarras envolvendo seu rosto no aplicativo Quickmemo, as quais o retratavam chupando cavalos, dando a bunda e alguns casos junto à sua irmã Cleyde, com seu rosto misturado ao dela. Ele ainda por cima usava essas montagens como foto de perfil no WhatsApp e postava no site pornô XTube.  Falas de Carlinhos:  o carlinhos é viado o carlinhos é um viado chupando homens engulindo esperma carlinhos você é viado ein você chupa um monte de pinto engole bastante esperma o carlinhos é um viado chupando homens engolindo esperma  o carlinhos ta mamando carlinhos mamando engolindo esperma carlinhos mamando engolindo esperma  carlinhos mamando engolindo esperma carlinhos chupando esperma de cavalos e homens pelados fiz um resumo', '👍🙂', 'What a sunny punk with liberty spikes huh. Is he supposed to be Oshimo Meme? Or is it just some kind of a sun god like Sol Invictus?\n\nBtw, great clip. Synch, masking and effects are applied correctly. Action looks organic and dynamic is really fits music.\nNo doubt this won Japan Expo, great job!', 'Йоко Таро, за що...', 'Amv good video, nice music, awesome anime good very Job 👋🏻🤝']"
4,DpdVWpFav0Q,"[""here's more of the same https://www.youtube.com/watch?v=H1_cUq_B3jc&list=PLfJBUG6SQKfYTMk4PxQFAFt5DzTs-2daZ&index=2""]"
5,SpSyOT9EiXQ,"['👍😲', 'б\n\n б', 'Шикарно! Люблю амв где передана атмосфера и ощущается так, что появляется желание  посмотреть!👍🏻😎😌', '3 out of 5', 'Fantastic AMV ✨❤️', 'amazing amv! u earned my sub <3']"
6,S3mNbNXuoZU,"['👍👍👍', 'Cool 👍👍😊']"
7,fZX77WmzuJE,"['Nice', 'support for #evafangame2021']"
8,Vb3lg8F2Kw0,['Cool']
9,verSBcvATY8,"['Работа проделана колоссальная, из моих наблюдений, тут много работы помимо обычного монтажа(если не ошибаюсь, ибо не разбираюсь), весьма качественная работа, я бы поставил 10/10, меньше просто не могу поставить', 'Ahereno, kruto poluchilos👍👍👍', 'ого уже вступление дало фору многим.', 'вау реально круто)', 'Вау! Просто вау! Даже представлять не хочу какая была адовая работа проделана по вырезанию и монтажу!', 'Потрясающе. У меня аж душ захватило.', 'Это бомба!!!']"
10,EI7Btm6XgmY,"['В принципе неплохой и слаженный ролик. Но как бы сказать, ему не хватает энергичности 🤔']"
11,z-gtR8OlFOc,"['хммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммм', 'Does anyone know what Anime was used at 1:53?', 'Hahaha fun and cool\nHypnodancer', '🕺💓🔥👍', '2:30 что за тайтл?', 'за последние пару лет меня так не цепляло как это амв. огонь', 'какие  уроды дизлайк ставят', '👍👍👍👍', 'Ему уже год. ток сейчас залили?', 'Нет, что-б посмотреть в окно\nНО в дырочку глядит Рэно.\nНедоумённо хлопает он глазом\n- Это что тут за зараза?\nГлюки мучают недаром\nменьше надо пить водяры.\nАниме довело до стона\nВ психушку увезли Леона']"
12,0nMNl97-_7k,"['хех. именно последние (следущее)2 амв я добавил в коллекцию', 'я всегда считал и считаю что в амв главное музыка а не видеоряд', '👍👍👍👍👍']"
13,3zCZwy-wL8s,['Nice']
14,9nvxUP-8NN8,['👍👍👍👍👍']
15,JbfgA8Ccqb0,['Cool']
16,IyAHzku3pzA,['Super']
17,ClMtPFHHZVk,"['Nice', ""Is reconnecting the song cuz I can't find it""]"
18,G1mpKt1E_0g,"['No puede ser te quedo genial', '👌']"
19,mwNHpf28Hq0,"['Beautifully made', 'That was dope!', '👌👌👌👌']"
20,avmhS-WZM1k,"['Что за аниме в этом амв?', '👌👌👌👌']"
21,zmXFJ0oNVvg,['А я ведь жду Ru Comix 4']
22,zN7zCse4uj4,"['what is the anime at the beginning of the video? (here 0:01)', 'что за аниме в начале ролика? (вот тут 0:01)', 'Amazing❤🔥👍love this']"
23,Csvhd8YZhBc,['👌👌👌']
24,2uxssRgKFW8,['Hahaha good idea truly a good idea using DOOM for Berserk xD']
25,opaRb5py7yE,['👌👌']
26,GJZI-vSdqnU,"['залипательно. Тайтлу подходит', 'ТУПАЯ песенка про ТУПЫХ с ТУПЫМ названием..\nНО получилось в тему...', 'Super', 'Золотой фонд']"
27,22PtFSzhq1I,"['Nice', 'это было охуенно']"
28,EUT_XF7IP4A,[]
29,EBCp3uvigNY,[]
